id,value,weight,volume
0,38,6,5
1,39,3,5
2,24,9,2
3,49,10,3
4,33,3,4
5,27,5,3
6,48,7,2
7,47,6,2
8,30,2,5
9,20,1,6
10,45,6,8
11,14,6,8
12,38,8,8
13,10,8,6
14,16,8,5
15,25,7,1
16,27,1,6
17,14,10,7
18,47,10,4
19,15,2,2
20,50,2,7
21,17,2,7
22,47,4,7
23,22,6,2
24,34,7,4
25,25,1,6
26,23,3,7
27,42,1,5
28,23,2,4
29,26,6,7
30,47,10,3
31,29,4,4
32,40,10,4
33,34,3,1
34,28,10,2
35,20,2,5
36,30,2,4
37,11,10,3
38,24,8,5
39,21,7,2
40,10,3,6
41,31,2,8
42,49,5,2
43,32,5,7
44,13,6,8
45,17,6,3
46,34,4,1
47,26,8,4
48,18,8,8
49,24,3,4
50,17,7,1
51,25,5,7
52,33,6,1
53,22,8,6
54,28,6,5
55,31,5,4
56,26,5,5
57,41,2,1
58,17,4,7
59,13,10,7
60,25,3,3
61,46,7,5
62,26,9,1
63,50,2,7
64,39,9,6
65,26,1,5
66,19,3,2
67,18,7,5
68,10,6,1
69,23,8,5
70,17,9,6
71,32,3,6
72,14,9,2
73,50,8,5
74,45,9,7
75,49,4,8
76,37,2,2
77,26,3,3
78,46,1,1
79,35,1,6
80,18,9,1
81,15,2,8
82,33,7,4
83,38,9,8
84,43,7,3
85,23,3,7
86,25,4,5
87,11,3,7
88,35,4,4
89,41,6,3
90,27,9,3
91,18,10,8
92,41,8,2
93,14,9,5
94,29,10,8
95,29,8,2
96,27,5,1
97,31,3,6
98,32,7,6
99,26,3,2
100,15,7,7
101,27,10,2
102,31,10,2
103,38,3,6
104,10,9,8
105,31,2,7
106,33,5,3
107,12,6,4
108,36,5,7
109,39,3,1
110,10,2,2
111,20,10,3
112,45,8,5
113,20,7,6
114,37,5,2
115,33,10,7
116,27,5,4
117,41,6,4
118,11,4,2
119,49,8,2
120,13,1,5
121,41,3,1
122,25,9,3
123,27,4,8
124,39,8,3
125,35,6,8
126,29,4,6
127,49,10,2
128,40,5,2
129,21,1,5
130,20,2,5
131,44,1,7
132,30,10,5
133,16,4,5
134,41,5,1
135,24,1,3
136,39,5,4
137,38,7,5
138,27,5,2
139,13,9,1
140,42,1,6
141,49,3,1
142,34,2,3
143,22,1,7
144,47,10,2
145,42,10,6
146,28,6,2
147,13,6,8
148,45,8,6
149,36,9,7
150,37,8,6
151,36,9,8
152,20,10,4
153,36,3,6
154,50,1,8
155,37,1,1
156,38,6,8
157,50,2,5
158,33,5,8
159,22,1,1
160,38,8,3
161,17,10,1
162,49,5,8
163,42,5,6
164,45,1,7
165,28,4,5
166,43,7,1
167,36,6,3
168,19,6,1
169,29,1,8
170,38,6,3
171,28,8,4
172,12,6,3
173,42,6,5
174,42,7,3
175,40,7,5
176,46,5,5
177,45,3,4
178,11,5,7
179,50,1,1
180,45,2,5
181,25,10,8
182,42,1,8
183,10,4,1
184,41,1,4
185,11,5,4
186,35,6,7
187,21,10,4
188,41,1,4
189,23,5,5
190,40,8,2
191,10,2,4
192,24,3,3
193,44,3,6
194,19,6,1
195,21,1,8
196,50,1,4
197,14,4,4
198,37,2,2
199,49,10,7
200,42,3,1
201,34,5,8
202,46,9,8
203,34,5,8
204,35,10,2
205,40,10,1
206,19,5,8
207,44,7,2
208,34,9,5
209,14,3,1
210,17,4,2
211,11,2,8
212,41,9,3
213,42,1,6
214,49,3,8
215,31,10,5
216,50,6,2
217,20,4,5
218,41,5,6
219,50,2,8
220,43,5,2
221,35,3,6
222,32,1,5
223,46,6,7
224,13,5,8
225,26,3,3
226,15,5,8
227,11,10,7
228,45,1,7
229,23,7,8
230,32,8,1
231,21,5,3
232,25,1,3
233,38,8,1
234,30,6,1
235,49,3,1
236,38,9,1
237,50,9,1
238,30,9,4
239,31,6,8
240,43,6,3
241,37,7,5
242,33,9,3
243,40,9,5
244,42,9,6
245,20,9,2
246,45,2,6
247,23,9,2
248,38,10,6
249,14,7,6
250,40,2,2
251,46,9,8
252,45,5,1
253,46,9,1
254,15,9,3
255,19,8,8
256,16,1,7
257,32,9,7
258,30,3,1
259,17,3,1
260,35,4,8
261,32,7,1
262,20,4,6
263,10,6,7
264,41,2,1
265,21,8,1
266,32,5,8
267,44,4,4
268,35,2,8
269,40,2,7
270,48,2,6
271,41,1,8
272,22,2,6
273,41,1,6
274,33,5,3
275,12,7,1
276,11,9,7
277,50,10,6
278,49,5,6
279,36,2,5
280,41,4,1
281,12,1,7
282,23,4,4
283,43,8,3
284,38,1,4
285,16,3,4
286,50,10,4
287,14,5,7
288,16,6,7
289,43,7,3
290,19,9,1
291,41,7,2
292,36,2,3
293,45,10,8
294,16,1,4
295,39,10,8
296,27,9,6
297,49,4,7
298,21,5,8
299,22,5,3
300,46,8,2
301,40,3,2
302,11,9,6
303,39,4,5
304,45,5,4
305,32,10,2
306,17,3,7
307,13,8,2
308,41,5,7
309,31,8,1
310,35,8,2
311,22,1,8
312,47,10,5
313,17,8,4
314,29,1,1
315,34,2,5
316,38,3,4
317,32,3,2
318,30,2,1
319,36,6,3
320,21,6,7
321,27,4,8
322,28,2,1
323,29,1,6
324,26,4,4
325,49,7,6
326,21,7,6
327,41,9,8
328,41,10,1
329,39,5,6
330,14,2,2
331,14,10,5
332,15,1,4
333,29,7,2
334,38,4,5
335,41,1,8
336,23,1,5
337,31,1,8
338,24,1,1
339,43,1,3
340,26,4,2
341,50,6,2
342,38,7,7
343,43,3,1
344,16,7,1
345,49,7,1
346,38,9,1
347,34,10,5
348,12,7,5
349,22,8,8
350,45,10,6
351,35,9,7
352,23,7,7
353,29,1,6
354,46,6,5
355,34,9,7
356,28,5,6
357,11,6,2
358,39,5,1
359,39,1,5
360,20,7,2
361,29,9,5
362,18,4,8
363,29,4,6
364,17,9,7
365,27,7,1
366,30,2,5
367,10,8,6
368,19,4,8
369,32,10,4
370,36,1,2
371,26,7,2
372,12,5,1
373,18,3,7
374,28,2,7
375,49,8,4
376,40,9,4
377,35,4,6
378,25,8,8
379,30,1,5
380,45,6,5
381,34,5,1
382,39,4,4
383,34,9,5
384,46,8,4
385,36,3,8
386,34,3,8
387,24,3,4
388,35,5,6
389,44,8,2
390,15,8,6
391,26,10,5
392,17,7,2
393,25,10,5
394,17,5,7
395,12,5,4
396,20,1,7
397,26,5,5
398,31,6,3
399,37,6,1
400,16,7,4
401,22,10,4
402,20,9,6
403,10,4,5
404,41,6,2
405,26,10,2
406,28,3,2
407,46,1,4
408,16,4,5
409,28,4,6
410,43,2,4
411,28,3,5
412,35,10,6
413,20,2,3
414,16,4,1
415,34,8,3
416,37,6,4
417,42,9,6
418,43,5,5
419,45,9,5
420,18,6,1
421,11,3,8
422,12,2,5
423,19,10,1
424,11,7,1
425,19,5,2
426,48,1,3
427,14,6,5
428,11,7,2
429,26,10,4
430,49,7,1
431,10,10,3
432,36,10,7
433,33,5,3
434,31,6,4
435,24,7,5
436,15,2,1
437,15,4,2
438,38,10,2
439,40,7,2
440,49,2,1
441,39,7,2
442,28,3,7
443,49,2,3
444,38,7,7
445,50,10,3
446,38,1,4
447,20,7,7
448,45,9,5
449,41,1,1
450,48,8,6
451,47,7,5
452,18,10,6
453,43,4,6
454,36,6,1
455,24,7,2
456,50,7,1
457,23,10,7
458,26,10,7
459,40,8,1
460,33,3,6
461,14,9,6
462,26,8,3
463,47,7,4
464,43,10,7
465,45,8,3
466,27,9,7
467,25,2,3
468,32,7,1
469,23,4,6
470,25,7,4
471,33,7,4
472,25,6,4
473,34,3,5
474,25,5,2
475,10,1,5
476,34,2,6
477,36,7,7
478,29,6,4
479,32,9,8
480,31,9,4
481,47,1,7
482,23,2,4
483,16,4,5
484,33,3,5
485,29,7,4
486,41,6,7
487,40,8,6
488,49,6,1
489,43,2,4
490,10,9,6
491,12,9,8
492,19,7,8
493,25,1,2
494,48,5,3
495,17,2,2
496,29,7,3
497,31,3,6
498,22,10,7
499,31,6,5
