id,value,weight,volume
0,35,3,6
1,22,5,8
2,35,7,5
3,25,10,6
4,11,10,3
5,49,10,1
6,46,4,4
7,14,7,3
8,21,2,2
9,36,5,4
10,24,3,5
11,20,1,3
12,49,3,8
13,28,7,1
14,31,3,3
15,26,9,5
16,38,3,2
17,15,10,1
18,43,10,8
19,27,8,5
20,35,10,4
21,13,10,8
22,45,6,1
23,16,1,4
24,25,8,7
25,29,10,8
26,16,4,5
27,40,4,4
28,49,9,7
29,33,9,1
30,29,1,4
31,15,3,1
32,12,1,7
33,38,9,5
34,50,8,8
35,47,6,5
36,41,8,8
37,41,9,4
38,20,3,4
39,18,2,3
40,49,3,5
41,18,3,8
42,37,8,5
43,11,4,3
44,14,1,6
45,30,6,4
46,41,9,5
47,22,9,7
48,32,10,5
49,13,9,7
50,26,6,2
51,29,1,4
52,40,8,5
53,36,8,7
54,18,10,2
55,35,1,8
56,24,7,5
57,36,4,5
58,27,1,8
59,39,4,5
60,31,5,7
61,47,4,3
62,35,6,7
63,38,10,7
64,16,5,8
65,44,5,7
66,20,1,4
67,11,10,5
68,30,4,3
69,18,7,5
70,19,4,1
71,32,2,4
72,15,6,2
73,26,2,6
74,36,2,2
75,38,4,4
76,46,9,4
77,31,7,8
78,17,7,2
79,19,1,7
80,16,4,3
81,24,2,1
82,13,6,1
83,31,5,3
84,18,9,3
85,15,6,3
86,38,4,1
87,13,8,4
88,35,7,1
89,30,9,2
90,47,4,1
91,10,3,7
92,43,1,6
93,34,2,8
94,18,6,3
95,47,5,2
96,35,8,3
97,31,5,6
98,40,1,1
99,16,3,2
100,39,7,8
101,44,6,6
102,31,1,1
103,45,5,3
104,31,4,2
105,14,3,6
106,25,2,1
107,33,4,7
108,18,1,3
109,31,2,2
110,46,4,5
111,29,7,3
112,42,7,4
113,29,1,5
114,32,8,5
115,32,8,5
116,27,6,2
117,25,3,3
118,24,9,6
119,34,6,2
120,24,5,8
121,23,7,8
122,19,1,1
123,19,2,3
124,20,5,2
125,44,2,1
126,21,9,2
127,12,9,7
128,13,1,5
129,10,5,6
130,50,10,1
131,46,4,5
132,49,10,7
133,10,9,8
134,20,5,2
135,39,7,7
136,48,8,5
137,31,6,4
138,21,9,7
139,18,2,8
140,23,8,4
141,18,6,6
142,19,6,1
143,38,7,7
144,21,1,5
145,30,2,8
146,29,4,5
147,34,1,3
148,23,5,2
149,32,1,5
150,50,3,3
151,38,9,1
152,20,2,6
153,10,8,1
154,34,5,4
155,34,5,7
156,24,2,8
157,44,9,6
158,49,5,1
159,48,8,8
160,48,3,2
161,25,1,8
162,40,8,5
163,11,9,7
164,15,9,7
165,40,3,7
166,16,9,2
167,17,9,2
168,37,7,5
169,47,4,3
170,45,6,4
171,38,9,4
172,28,8,4
173,46,5,5
174,22,6,6
175,27,6,5
176,19,4,8
177,26,4,5
178,32,1,8
179,19,7,5
180,14,5,8
181,23,7,6
182,23,7,2
183,16,8,8
184,35,5,5
185,40,9,5
186,42,10,2
187,40,4,6
188,20,8,6
189,15,1,2
190,33,8,7
191,30,9,7
192,24,2,7
193,31,2,4
194,44,5,2
195,34,4,5
196,42,6,2
197,29,3,4
198,39,8,6
199,10,7,5
