id,value,weight,volume
0,20,7,4
1,32,8,2
2,19,10,1
3,34,3,6
4,16,9,8
5,35,9,3
6,35,2,7
7,28,9,2
8,17,5,8
9,46,6,3
10,43,2,8
11,24,4,8
12,14,3,2
13,36,5,1
14,43,4,7
15,22,1,2
16,30,6,4
17,29,3,6
18,14,3,3
19,20,10,2
20,23,3,5
21,32,8,4
22,24,1,8
23,20,10,2
24,20,7,4
25,39,4,2
26,21,10,1
27,20,7,8
28,30,5,1
29,11,3,3
30,47,7,2
31,37,2,5
32,30,5,8
33,32,3,5
34,37,1,7
35,25,3,2
36,39,9,3
37,29,7,8
38,35,4,5
39,43,1,7
40,44,2,3
41,30,2,6
42,11,9,5
43,23,7,2
44,10,8,5
45,43,3,3
46,36,1,2
47,48,7,4
48,25,6,8
49,44,2,6
50,23,8,1
51,18,10,5
52,45,7,3
53,19,7,2
54,43,10,5
55,31,6,3
56,19,10,1
57,49,9,5
58,46,9,6
59,17,4,3
60,24,8,6
61,44,9,7
62,46,5,7
63,46,7,7
64,13,10,2
65,42,9,6
66,34,6,1
67,25,2,8
68,37,10,1
69,21,2,3
70,32,5,6
71,28,7,8
72,19,2,6
73,10,3,4
74,23,2,6
75,25,7,6
76,44,8,6
77,22,6,5
78,13,6,3
79,36,3,3
80,20,6,8
81,50,4,4
82,46,10,6
83,27,8,3
84,30,7,5
85,37,5,7
86,18,3,6
87,30,3,5
88,10,8,6
89,11,2,8
90,48,5,8
91,21,10,8
92,25,8,1
93,49,10,3
94,27,6,8
95,33,10,8
96,44,1,3
97,22,4,2
98,44,3,3
99,29,2,3
